"Date","Wind10int"
2019-08-06,2.662874
2019-08-07,2.8569486
2019-08-08,3.3235781
2019-08-09,2.592412
2019-08-10,4.761136
2019-08-11,3.5233252
2019-08-12,2.8888736
2019-08-13,3.4642382
2019-08-14,2.6825507
2019-08-15,3.9848852
2019-08-16,3.0866747
2019-08-17,3.7417316
2019-08-18,3.3079941
2019-08-19,3.0204577
2019-08-20,2.3677535
2019-08-21,2.1319666
2019-08-22,2.3463855
2019-08-23,2.0345213
2019-08-24,2.4955583
2019-08-25,2.1459405
2019-08-26,1.936555
2019-08-27,1.9763546
2019-08-28,2.0036743
2019-08-29,2.1177964
2019-08-30,1.5317405
2019-08-31,2.374501
2019-09-01,3.3748474
2019-09-02,2.944555
2019-09-03,3.0527406
2019-09-04,3.1743498
2019-09-05,4.284128
2019-09-06,2.9135184
2019-09-07,1.9196035
2019-09-08,1.5267122
2019-09-09,2.723222
2019-09-10,3.0460143
2019-09-11,3.1781511
2019-09-12,3.2712698
2019-09-13,3.333061
2019-09-14,2.1391084
2019-09-15,3.475132
2019-09-16,2.6790476
2019-09-17,4.8483415
2019-09-18,3.959973
2019-09-19,2.907179
2019-09-20,2.3990428
2019-09-21,2.5077236
2019-09-22,2.6051466
2019-09-23,2.7443714
2019-09-24,2.3138487
2019-09-25,2.8896637
2019-09-26,3.386157
2019-09-27,3.8135085
2019-09-28,5.106349
2019-09-29,5.4974017
2019-09-30,6.535058
2019-10-01,4.1959777
2019-10-02,4.2791023
2019-10-03,3.3126814
2019-10-04,3.5380657
2019-10-05,3.8318148
2019-10-06,3.3212738
2019-10-07,2.374625
2019-10-08,4.516621
2019-10-09,4.695038
2019-10-10,5.2770667
2019-10-11,5.5621552
2019-10-12,4.372659
2019-10-13,3.8460307
2019-10-14,2.9969864
2019-10-15,2.6347737
2019-10-16,4.2668962
2019-10-17,3.4627593
2019-10-18,4.272863
2019-10-19,3.7304943
2019-10-20,2.307845
2019-10-21,2.3729286
2019-10-22,2.220569
2019-10-23,2.624363
2019-10-24,2.9890554
2019-10-25,3.9239604
2019-10-26,4.932807
2019-10-27,4.416909
2019-10-28,2.9709802
2019-10-29,2.6247504
2019-10-30,2.5176616
2019-10-31,2.4977472
2019-11-01,3.737593
2019-11-02,4.6343193
2019-11-03,3.3580894
2019-11-04,3.5440466
2019-11-05,2.830267
2019-11-06,2.4213421
2019-11-07,3.1580615
2019-11-08,2.195912
2019-11-09,2.7393854
2019-11-10,1.9187801
2019-11-11,3.6559248
2019-11-12,4.123005
2019-11-13,3.387454
2019-11-14,3.4436147
2019-11-15,3.742836
2019-11-16,2.8379092
2019-11-17,3.0854244
2019-11-18,3.5960538
2019-11-19,3.229427
2019-11-20,1.5999159
2019-11-21,2.065855
2019-11-22,2.989645
2019-11-23,4.370258
2019-11-24,2.6667583
2019-11-25,1.8415705
2019-11-26,2.9573064
2019-11-27,4.5039444
2019-11-28,6.1852064
2019-11-29,4.817829
2019-11-30,2.509467
2019-12-01,2.1909366
2019-12-02,3.2699935
2019-12-03,2.6190221
2019-12-04,2.7587228
2019-12-05,3.2193809
2019-12-06,5.787925
2019-12-07,5.689295
2019-12-08,6.5281463
2019-12-09,5.545651
2019-12-10,4.121225
2019-12-11,3.9707696
2019-12-12,3.6879835
2019-12-13,4.978572
2019-12-14,6.261554
2019-12-15,5.7158484
2019-12-16,3.4028122
2019-12-17,3.9215763
2019-12-18,3.2389908
2019-12-19,3.5342698
2019-12-20,4.2214065
2019-12-21,3.3292656
2019-12-22,4.0743265
2019-12-23,4.8463945
