"date","wind_speed_sum","temperature_air_mean_200_sum","temperature_air_min_200_sum","temperature_air_max_200_sum","celctemp","hdd16","hdd17","hdd15"
2022-04-10,3.76749141913013,277.199247310124,273.092649600479,281.84551633262,5.04924731012369,10.9507526898763,11.9507526898763,9.95075268987631
2022-04-11,2.67899055380065,279.856753851129,272.6060635772,286.628998457111,7.70675385112901,8.29324614887099,9.29324614887099,7.29324614887099
2022-04-12,3.44306109332098,284.720883492906,276.465815937222,292.347571324338,12.5708834929061,3.42911650709385,4.42911650709385,2.42911650709385
2022-04-13,2.35356430689082,287.348947277165,280.3826777366,294.436590820344,15.1989472771647,0.801052722835266,1.80105272283527,0
2022-04-14,2.62197349009466,286.05544967628,280.5283932532,291.498253666696,13.9054496762799,2.09455032372006,3.09455032372006,1.09455032372006
2022-04-15,3.22280606689931,282.914028944923,278.304927143855,286.712759838307,10.7640289449234,5.23597105507662,6.23597105507662,4.23597105507662
2022-04-16,3.80945188692191,280.801358339341,275.121504182351,285.734377247121,8.6513583393409,7.3486416606591,8.3486416606591,6.3486416606591
2022-04-17,3.04976609412845,281.076855069058,273.455375750506,287.729590763426,8.92685506905769,7.07314493094231,8.07314493094231,6.07314493094231
2022-04-18,2.38315027986701,282.349851913951,274.331210904124,288.931355976525,10.1998519139509,5.80014808604909,6.80014808604909,4.80014808604909
2022-04-19,3.15682320532115,282.300219015612,275.16757195665,288.497974172483,10.1502190156119,5.84978098438808,6.84978098438808,4.84978098438808
2022-04-20,3.33901762179609,281.664485403776,275.20824756472,287.41147145204,9.51448540377555,6.48551459622445,7.48551459622445,5.48551459622445
2022-04-21,3.40757529631611,282.097226917635,277.109497024299,287.379253147053,9.94722691763531,6.05277308236469,7.05277308236469,5.05277308236469
2022-04-22,4.43549067584377,283.407858700696,278.648345438053,288.844046468457,11.2578587006961,4.74214129930391,5.74214129930391,3.74214129930391
2022-04-23,4.74874680162166,284.100712388045,279.541226132187,288.756846686161,11.9507123880454,4.04928761195458,5.04928761195458,3.04928761195458
2022-04-24,4.30910352255175,282.745349034263,279.025163244783,286.810428957089,10.5953490342634,5.40465096573655,6.40465096573655,4.40465096573655
