Gastag,Restlast[kWh]*,,
04.10.2019,947874377,,
05.10.2019,981619800,,
06.10.2019,1126035700,,
07.10.2019,1118721796,,
08.10.2019,999061831,,
09.10.2019,986745768,,
10.10.2019,995596634,,
11.10.2019,907592299,,
12.10.2019,720597464,,
13.10.2019,557267586,,
14.10.2019,522706726,,
15.10.2019,571716914,,
16.10.2019,707180297,,
17.10.2019,705938384,,
18.10.2019,738517908,,
19.10.2019,821955398,,
20.10.2019,797096425,,
21.10.2019,775417900,,
22.10.2019,839678583,,
23.10.2019,845001496,,
24.10.2019,771975587,,
25.10.2019,766708482,,
26.10.2019,749144148,,
27.10.2019,934837861,,
28.10.2019,1199006115,,
29.10.2019,1364576255,,
30.10.2019,1574579708,,
31.10.2019,1660160010,,
01.11.2019,1570206510,,
02.11.2019,1142896991,,
03.11.2019,1103555193,,
04.11.2019,1163104420,,
05.11.2019,1250798934,,
06.11.2019,1353757909,,
07.11.2019,1430391207,,
08.11.2019,1526346767,,
09.11.2019,1621482180,,
10.11.2019,1755358539,,
11.11.2019,1885486379,,
12.11.2019,1830215434,,
13.11.2019,1846477524,,
14.11.2019,1828822987,,
15.11.2019,1817366825,,
16.11.2019,1807466547,,
17.11.2019,1869476251,,
18.11.2019,1818632004,,
19.11.2019,1855177505,,
20.11.2019,1959395140,,
21.11.2019,1893475770,,
22.11.2019,1805335889,,
23.11.2019,1721659448,,
24.11.2019,1766365465,,
25.11.2019,1794183978,,
26.11.2019,1623509671,,
27.11.2019,1517294765,,
28.11.2019,1485317748,,
29.11.2019,1737121427,,
30.11.2019,1948840445,,
01.12.2019,2099843084,,
02.12.2019,2092930923,,
03.12.2019,2013459892,,
04.12.2019,2116544336,,
05.12.2019,2279903480,,
06.12.2019,2107751857,,
07.12.2019,1739660043,,
08.12.2019,1645209912,,
09.12.2019,1799027926,,
10.12.2019,2020497934,,
11.12.2019,2073779030,,
12.12.2019,2085537046,,
13.12.2019,2109464311,,
14.12.2019,1932154883,,
15.12.2019,1772482810,,
16.12.2019,1743027924,,
17.12.2019,1528144757,,
18.12.2019,1612487900,,
19.12.2019,1656461994,,
20.12.2019,1611945803,,
21.12.2019,1615049327,,
22.12.2019,1660026710,,
23.12.2019,1665461770,,
24.12.2019,1660995020,,
25.12.2019,1662144739,,
26.12.2019,1780363139,,
27.12.2019,1941624329,,
28.12.2019,2194800472,,
29.12.2019,2280389044,,
30.12.2019,2132368283,,
31.12.2019,2117399669,,
01.01.2020,2235995517,,
02.01.2020,2311297454,,
03.01.2020,1992124061,,
04.01.2020,1996598391,,
05.01.2020,2001760920,,
06.01.2020,2090209742,,
