Date,"Physical Flow,kWh/day"
13.05.2021,1752265647.00
14.05.2021,1760029908.00
15.05.2021,1755315492.00
16.05.2021,1754934321.00
17.05.2021,1754480818.00
18.05.2021,1756274224.00
19.05.2021,1753993009.00
20.05.2021,1757364208.00
21.05.2021,1757328291.00
22.05.2021,1753869583.00
23.05.2021,1754356405.00
24.05.2021,1756078031.00
25.05.2021,1755836781.00
26.05.2021,1754806537.00
27.05.2021,1754722645.00
28.05.2021,1757113644.00
29.05.2021,1751572980.00
30.05.2021,1754308894.00
31.05.2021,1757979856.00
01.06.2021,1758529750.00
02.06.2021,1756380925.00
03.06.2021,1754066190.00
04.06.2021,1758368401.00
05.06.2021,1755378619.00
06.06.2021,1747412729.00
07.06.2021,1742618603.00
08.06.2021,1742726329.00
09.06.2021,1744252814.00
10.06.2021,1756509088.00
11.06.2021,1752893437.00
12.06.2021,1754220694.00
13.06.2021,1756660376.00
14.06.2021,1758924625.00
15.06.2021,1755944504.00
16.06.2021,1756204743.00
17.06.2021,1756132102.00
18.06.2021,1754905946.00
19.06.2021,1727095955.00
20.06.2021,1727621483.00
21.06.2021,1633303599.00
22.06.2021,1576928370.00
23.06.2021,1609560424.00
24.06.2021,1625837740.00
25.06.2021,1626736881.00
26.06.2021,1657670780.00
27.06.2021,1695120175.00
28.06.2021,1698132687.00
29.06.2021,1693131571.00
30.06.2021,1672578756.00
01.07.2021,1676665402.00
02.07.2021,1658010914.00
03.07.2021,1675735072.00
04.07.2021,1657860012.00
05.07.2021,1662228582.00
06.07.2021,1756570190.00
07.07.2021,1752690461.00
08.07.2021,1741109784.00
09.07.2021,1678022269.00
10.07.2021,1630373763.00
11.07.2021,1618016871.00
12.07.2021,1542811817.00
13.07.2021,16507387.00
14.07.2021,4531.00
15.07.2021,0.00
16.07.2021,0.00
17.07.2021,0.00
18.07.2021,0.00
19.07.2021,0.00
20.07.2021,0.00
21.07.2021,0.00
22.07.2021,0.00
23.07.2021,1534227955.00
24.07.2021,1754189078.00
25.07.2021,1750886280.00
26.07.2021,1743020206.00
27.07.2021,1672917696.00
28.07.2021,1740640509.00
29.07.2021,1755639295.00
30.07.2021,1713616229.00
31.07.2021,1736978217.00
01.08.2021,1721870571.00
02.08.2021,1741460729.00
03.08.2021,1753930394.00
04.08.2021,1748515106.00
05.08.2021,1754935454.00
06.08.2021,1751978835.00
07.08.2021,1750287816.00
08.08.2021,1748570654.00
09.08.2021,1756621533.00
10.08.2021,1752726878.00
11.08.2021,1752664210.00
12.08.2021,1740027147.00
13.08.2021,1711423305.00
14.08.2021,1731460155.00
15.08.2021,1733379513.00
16.08.2021,1735758231.00
17.08.2021,1728961653.00
18.08.2021,1741759967.00
19.08.2021,1725577474.00
20.08.2021,1761503482.00
21.08.2021,1755206132.00
22.08.2021,1751505111.00
23.08.2021,1760223236.00
24.08.2021,1756438874.00
25.08.2021,1753736702.00
26.08.2021,1759595880.00
27.08.2021,1756294635.00
28.08.2021,1750942289.00
29.08.2021,1755813203.00
30.08.2021,1756125307.00
31.08.2021,1757097905.00
01.09.2021,1755838682.00
02.09.2021,1759639514.00
03.09.2021,1756677220.00
04.09.2021,1754711455.00
05.09.2021,1754384183.00
06.09.2021,1755333624.00
07.09.2021,1755255017.00
08.09.2021,1753043843.00
09.09.2021,1756426380.00
10.09.2021,1755719253.00
11.09.2021,1755749361.00
12.09.2021,1754891704.00
13.09.2021,1761822366.00
14.09.2021,1755691586.00
15.09.2021,1751524827.00
16.09.2021,1756180484.00
17.09.2021,1756748722.00
18.09.2021,1756557628.00
19.09.2021,1756644851.00
20.09.2021,1757246114.00
21.09.2021,1751921533.00
22.09.2021,1755900185.00
23.09.2021,1760617835.00
24.09.2021,1756363731.00
25.09.2021,1751875394.00
26.09.2021,1751481724.00
27.09.2021,1760217088.00
28.09.2021,1754786962.00
29.09.2021,1756102163.00
30.09.2021,1761803130.00
01.10.2021,1757403998.00
02.10.2021,1756871262.00
03.10.2021,1754457734.00
04.10.2021,1755321728.00
05.10.2021,1753164666.00
06.10.2021,1755380874.00
07.10.2021,1758917166.00
08.10.2021,1752352346.00
09.10.2021,1766441076.00
10.10.2021,1754636711.00
11.10.2021,1754978022.00
12.10.2021,1758795910.00
13.10.2021,1754775877.00
14.10.2021,1756700991.00
15.10.2021,1757199782.00
16.10.2021,1755334484.00
17.10.2021,1755903685.00
18.10.2021,1756063937.00
19.10.2021,1755061552.00
20.10.2021,1756543565.00
21.10.2021,1758598457.00
22.10.2021,1755981223.00
23.10.2021,1752537652.00
24.10.2021,1756136645.00
25.10.2021,1756234689.00
26.10.2021,1759400443.00
27.10.2021,1743146217.00
28.10.2021,1756889580.00
29.10.2021,1752459539.00
30.10.2021,1827078869.00
31.10.2021,1762364760.00
01.11.2021,1754086779.00
02.11.2021,1754795630.00
03.11.2021,1758759437.00
04.11.2021,1766714651.00
05.11.2021,1756110560.00
06.11.2021,1755468768.00
07.11.2021,1757668135.00
08.11.2021,1756690412.00
09.11.2021,1752473092.00
10.11.2021,1756228007.00
11.11.2021,1758882233.00
12.11.2021,1753042486.00
13.11.2021,1756259286.00
14.11.2021,1754637636.00
15.11.2021,1759513667.00
16.11.2021,1755029455.00
17.11.2021,1754114157.00
18.11.2021,1752885622.00
19.11.2021,1759271242.00
20.11.2021,1753765850.00
21.11.2021,1758513929.00
22.11.2021,1752630796.00
23.11.2021,1756592676.00
24.11.2021,1753914293.00
25.11.2021,1753734662.00
26.11.2021,1750453373.00
27.11.2021,1753787995.00
28.11.2021,1754233515.00
29.11.2021,1759480963.00
30.11.2021,1760920337.00
01.12.2021,1752705961.00
02.12.2021,1757831140.00
03.12.2021,1756248576.00
04.12.2021,1753505750.00
05.12.2021,1755256800.00
06.12.2021,1760388426.00
07.12.2021,1757115427.00
08.12.2021,1756182916.00
09.12.2021,1754599561.00
10.12.2021,1757144004.00
11.12.2021,1758497923.00
12.12.2021,1755462036.00
13.12.2021,1757235174.00
14.12.2021,1754131241.00
15.12.2021,1745456634.00
16.12.2021,1763201286.00
17.12.2021,1757433795.00
