"Date","Cloud"
2018-12-23,99.456055
2018-12-24,88.75094
2018-12-25,73.97688
2018-12-26,80.30688
2018-12-27,86.39738
2018-12-28,72.25064
2018-12-29,94.46954
2018-12-30,89.9244
2018-12-31,99.07416
2019-01-01,82.819405
2019-01-02,41.738346
2019-01-03,64.07299
2019-01-04,97.74898
2019-01-05,95.5998
2019-01-06,95.49609
2019-01-07,97.01743
2019-01-08,87.963005
2019-01-09,87.347305
2019-01-10,92.2151
2019-01-11,92.06447
2019-01-12,95.91815
2019-01-13,94.0538
2019-01-14,56.306973
2019-01-15,89.407005
2019-01-16,93.72229
2019-01-17,82.3285
2019-01-18,51.019077
2019-01-19,59.864338
2019-01-20,29.768997
2019-01-21,42.499126
2019-01-22,61.973484
2019-01-23,78.53747
2019-01-24,88.20938
2019-01-25,93.20946
2019-01-26,99.30077
2019-01-27,91.06542
2019-01-28,91.492325
2019-01-29,60.214188
2019-01-30,87.322495
2019-01-31,67.62912
2019-02-01,89.67211
2019-02-02,97.7846
2019-02-03,79.006386
2019-02-04,66.4093
2019-02-05,74.29954
2019-02-06,80.27853
2019-02-07,83.69942
2019-02-08,79.63274
2019-02-09,76.77157
2019-02-10,94.157036
2019-02-11,69.36786
2019-02-12,77.38176
2019-02-13,74.75824
2019-02-14,42.297073
2019-02-15,1.762172
2019-02-16,8.877702
2019-02-17,38.48291
2019-02-18,16.002365
2019-02-19,63.128696
2019-02-20,80.34378
2019-02-21,79.49191
2019-02-22,81.17567
2019-02-23,54.129967
2019-02-24,13.090021
2019-02-25,30.231739
2019-02-26,40.923824
2019-02-27,5.8875837
2019-02-28,43.26362
2019-03-01,93.50557
2019-03-02,92.11776
2019-03-03,96.65332
2019-03-04,83.69942
2019-03-05,75.21854
2019-03-06,93.16855
2019-03-07,69.10924
2019-03-08,71.773834
2019-03-09,87.40808
2019-03-10,85.30573
2019-03-11,80.94792
2019-03-12,88.03105
2019-03-13,75.22756
2019-03-14,92.563515
2019-03-15,88.77346
2019-03-16,84.75003
2019-03-17,71.4348
2019-03-18,50.75327
2019-03-19,36.285557
2019-03-20,48.540115
2019-03-21,47.58414
2019-03-22,39.702164
2019-03-23,41.81167
2019-03-24,53.719654
2019-03-25,61.27752
2019-03-26,77.50398
2019-03-27,84.66278
2019-03-28,78.28866
2019-03-29,38.183456
2019-03-30,29.399893
2019-03-31,35.2617
2019-04-01,8.616633
2019-04-02,63.14377
2019-04-03,87.641884
2019-04-04,80.81697
2019-04-05,85.65209
2019-04-06,53.59235
2019-04-07,35.22061
2019-04-08,53.001118
2019-04-09,64.23904
2019-04-10,59.349033
2019-04-11,57.43329
2019-04-12,66.718414
2019-04-13,64.49607
2019-04-14,78.56274
2019-04-15,14.533231
2019-04-16,25.280806
2019-04-17,34.368324
2019-04-18,13.371722
2019-04-19,2.2190201
2019-04-20,9.14284
2019-04-21,1.5348282
2019-04-22,11.15303
2019-04-23,41.274593
2019-04-24,47.850323
2019-04-25,51.15837
2019-04-26,79.688576
2019-04-27,77.66812
2019-04-28,78.79551
2019-04-29,81.9278
2019-04-30,45.072083
2019-05-01,49.187405
2019-05-02,72.75124
2019-05-03,75.41257
2019-05-04,72.45595
2019-05-05,58.270332
2019-05-06,54.09845
2019-05-07,59.39
2019-05-08,91.98387
2019-05-09,75.90638
2019-05-10,59.288994
2019-05-11,83.33364
2019-05-12,59.428444
2019-05-13,31.385395
2019-05-14,39.111027
2019-05-15,53.19483
2019-05-16,89.35513
2019-05-17,80.68812
2019-05-18,49.787457
2019-05-19,58.18766
2019-05-20,92.80871
2019-05-21,92.6657
2019-05-22,83.29678
2019-05-23,64.16258
2019-05-24,69.628555
2019-05-25,72.16713
2019-05-26,72.96596
2019-05-27,84.3408
2019-05-28,87.92389
2019-05-29,58.58494
2019-05-30,71.68364
2019-05-31,73.5382
2019-06-01,43.11968
2019-06-02,28.640036
2019-06-03,50.049942
2019-06-04,47.389637
2019-06-05,29.47537
2019-06-06,68.54356
2019-06-07,54.85843
2019-06-08,50.462498
2019-06-09,72.12411
2019-06-10,94.53526
2019-06-11,87.71504
2019-06-12,74.78478
2019-06-13,38.525497
2019-06-14,52.7518
2019-06-15,70.20744
2019-06-16,64.95318
2019-06-17,32.36196
2019-06-18,54.786682
2019-06-19,60.940044
2019-06-20,76.57282
2019-06-21,54.03529
2019-06-22,62.659107
2019-06-23,43.595993
2019-06-24,47.97617
2019-06-25,46.40591
2019-06-26,18.683577
2019-06-27,27.896088
2019-06-28,25.304
2019-06-29,0.9711795
2019-06-30,13.89684
2019-07-01,55.093666
2019-07-02,43.4685
2019-07-03,45.45872
2019-07-04,44.88859
2019-07-05,65.68893
2019-07-06,65.692635
2019-07-07,68.28219
2019-07-08,63.60759
2019-07-09,58.109688
2019-07-10,56.708504
2019-07-11,88.27618
2019-07-12,80.93848
2019-07-13,69.227036
2019-07-14,80.59865
2019-07-15,80.0677
2019-07-16,66.651535
2019-07-17,61.98993
2019-07-18,70.572685
2019-07-19,80.78783
2019-07-20,79.06685
2019-07-21,61.577614
2019-07-22,80.95574
2019-07-23,11.381585
2019-07-24,16.489515
2019-07-25,33.463978
2019-07-26,34.874798
2019-07-27,60.001938
2019-07-28,73.739296
2019-07-29,76.06679
2019-07-30,48.097786
2019-07-31,63.126606
2019-08-01,54.95109
2019-08-02,66.17369
2019-08-03,51.056595
2019-08-04,52.749653
2019-08-05,78.304535
2019-08-06,81.07036
2019-08-07,82.54348
2019-08-08,46.05137
2019-08-09,79.58916
2019-08-10,57.107452
2019-08-11,55.96247
2019-08-12,70.90684
2019-08-13,62.62839
2019-08-14,38.358845
2019-08-15,80.35833
2019-08-16,68.602806
2019-08-17,95.25241
2019-08-18,73.55426
2019-08-19,65.87592
2019-08-20,79.625374
2019-08-21,52.252567
2019-08-22,25.103024
2019-08-23,23.714193
2019-08-24,22.603703
2019-08-25,28.650614
2019-08-26,30.464579
2019-08-27,42.93799
2019-08-28,69.91748
2019-08-29,65.71322
2019-08-30,40.33475
2019-08-31,23.539392
2019-09-01,70.34329
2019-09-02,45.509365
2019-09-03,45.336254
2019-09-04,45.95688
2019-09-05,54.949238
2019-09-06,60.742584
2019-09-07,82.9115
2019-09-08,83.00032
2019-09-09,83.172386
2019-09-10,56.656315
2019-09-11,53.632336
2019-09-12,62.20777
2019-09-13,61.34982
2019-09-14,39.28305
2019-09-15,48.97629
2019-09-16,78.073364
2019-09-17,57.83891
2019-09-18,32.342873
2019-09-19,46.79309
2019-09-20,48.773224
2019-09-21,4.90968
2019-09-22,30.730305
2019-09-23,78.79368
2019-09-24,86.32777
2019-09-25,85.08445
2019-09-26,88.16166
2019-09-27,78.40929
2019-09-28,64.390724
2019-09-29,80.73514
2019-09-30,74.99402
2019-10-01,84.58276
2019-10-02,68.569824
2019-10-03,65.402405
2019-10-04,92.80817
2019-10-05,76.07512
2019-10-06,83.19516
2019-10-07,71.84986
2019-10-08,90.157776
2019-10-09,82.20786
2019-10-10,64.48672
2019-10-11,79.331276
2019-10-12,61.543716
2019-10-13,39.750683
2019-10-14,40.50428
2019-10-15,74.82997
2019-10-16,76.99411
2019-10-17,82.72904
2019-10-18,74.40169
2019-10-19,91.845116
2019-10-20,86.27616
2019-10-21,91.36575
2019-10-22,76.96822
2019-10-23,69.87683
2019-10-24,78.81429
2019-10-25,82.70428
2019-10-26,74.46054
2019-10-27,80.39262
2019-10-28,62.333057
2019-10-29,63.696316
2019-10-30,50.57629
2019-10-31,33.011547
2019-11-01,85.779305
2019-11-02,93.585434
2019-11-03,95.66191
2019-11-04,76.92391
2019-11-05,79.39501
2019-11-06,83.14159
2019-11-07,80.620804
2019-11-08,88.34644
2019-11-09,69.00044
2019-11-10,42.12902
2019-11-11,80.77881
2019-11-12,77.831154
2019-11-13,82.882515
2019-11-14,59.973396
2019-11-15,97.77375
2019-11-16,78.75948
2019-11-17,89.03524
2019-11-18,87.136024
2019-11-19,79.75317
2019-11-20,87.24555
2019-11-21,92.56557
2019-11-22,80.96564
2019-11-23,80.25392
2019-11-24,86.10081
2019-11-25,97.16446
2019-11-26,95.83936
2019-11-27,85.60745
2019-11-28,81.394714
2019-11-29,60.181633
2019-11-30,34.575302
2019-12-01,92.80086
2019-12-02,72.29858
2019-12-03,78.07068
2019-12-04,31.533182
2019-12-05,31.331121
2019-12-06,81.31843
2019-12-07,93.58118
2019-12-08,91.88299
2019-12-09,75.297356
2019-12-10,45.756046
2019-12-11,93.639565
2019-12-12,79.230736
2019-12-13,83.57762
2019-12-14,78.61469
2019-12-15,76.083466
2019-12-16,91.89974
2019-12-17,79.88343
2019-12-18,60.78673
2019-12-19,59.08238
2019-12-20,77.75919
2019-12-21,62.080254
2019-12-22,94.609
2019-12-23,80.09975
2019-12-24,87.71949
2019-12-25,82.9976
2019-12-26,83.79641
2019-12-27,80.02968
2019-12-28,82.24364
2019-12-29,68.80191
2019-12-30,38.30012
2019-12-31,50.339714
2020-01-01,30.507992
2020-01-02,45.560505
2020-01-03,91.41777
2020-01-04,81.35604
2020-01-05,76.354225
2020-01-06,60.913185
2020-01-07,80.06345
2020-01-08,95.17059
2020-01-09,96.391556
2020-01-10,79.71223
2020-01-11,79.8619
2020-01-12,74.205475
2020-01-13,85.10137
