"Gasday","HGasSLPsyn","HGasSLPana","LGasSLPsyn","LGasSLPana","HGasRLMmT","LGasRLMmT","HGasRLMoT","LGasRLMoT","Status","Unit"
2022-02-22,1147187304,244272312,285356832,84409944,1515991728,246873456,93870123,4478051,final,kWh
2022-02-23,1132143072,258754176,282406632,94214088,1533606912,238610184,96718633,4446232,final,kWh
2022-02-24,1101627720,247403616,281761680,90567264,1485898344,247573704,86832260,4085375,final,kWh
2022-02-25,1236448056,244163040,308021952,80748672,1524542808,248508120,97070920,4899677,final,kWh
2022-02-26,1300333944,249027576,317711376,86593704,1384159776,219444792,96063470,4455531,final,kWh
2022-02-27,1377681528,271807800,325921056,97036152,1346141928,216533448,89678097,2151818,final,kWh
2022-02-28,1440137952,278678160,330689496,93070704,1594646184,242348256,97383880,7746848,final,kWh
2022-03-01,1447126272,273932904,328517304,90216552,1745169480,245841192,105518104,9889387,final,kWh
2022-03-02,1405140480,275191704,318197640,88047216,1766454936,245082816,99833919,6339039,final,kWh
2022-03-03,1400131920,270080736,317478984,89217336,1649537184,250155576,109105579,5255418,final,kWh
2022-03-04,1442474328,272186160,333258648,86206584,1625984160,251298144,106561168,5694566,final,kWh
2022-03-05,1457820936,275175936,338725800,87441048,1393016520,212631888,103049279,1432018,final,kWh
2022-03-06,1514428032,282794664,353494296,90306840,1435577952,217333080,103220367,2064950,final,kWh
2022-03-07,1553107872,278524056,360675120,90528864,1724270952,254690400,99124581,9233951,final,kWh
2022-03-08,1467137904,285003696,336256704,95368152,1582127088,250306392,95204362,8635235,final,kWh
2022-03-09,1340855040,269590680,303824256,93321792,1538901360,237811992,89530637,4404350,final,kWh
2022-03-10,1211045136,258074184,263936496,86182728,1423977960,228066336,82767015,3724614,final,kWh
2022-03-11,1206205200,247610568,255039120,79275720,1342824936,216717192,76263517,1416346,final,kWh
2022-03-12,1109001168,231922392,236478792,75690768,1178680080,179868048,76355258,1272871,final,kWh
2022-03-13,1029926328,227661912,213595176,68267688,1171903176,179297904,73491779,1581511,final,kWh
2022-03-14,992366184,213190032,217747296,61536048,1528007616,226082808,86773426,8529732,final,kWh
2022-03-15,975790392,200232648,228614760,59440416,1612838880,235222512,79774647,11624109,final,kWh
2022-03-16,869767872,194482608,208118232,63519288,1425170568,222355920,85666391,4995309,final,kWh
2022-03-17,878318856,198236688,216732552,71923584,1524605352,232255224,85291361,6981021,final,kWh
