"date","wind_speed_sum","temperature_air_mean_200_sum","temperature_air_min_200_sum","temperature_air_max_200_sum","celctemp","hdd16"
2020-09-24,4.26197943182975,288.761078301599,284.560457183586,292.657931982487,16.6110783015986,0
2020-09-25,3.83412585276448,284.416052336829,280.878103044496,287.639552998676,12.2660523368293,3.73394766317074
2020-09-26,3.90014255167498,282.165746868954,279.89388555137,284.43235413909,10.0157468689543,5.9842531310457
2020-09-27,2.81416352713573,283.125700030547,279.908945117605,286.08007331229,10.9757000305468,5.02429996945324
2020-09-28,2.07448834130944,283.797367885144,279.829864575909,287.515848691579,11.6473678851441,4.35263211485591
2020-09-29,2.17132674880358,284.526967722228,280.285765197027,288.175236737603,12.3769677222279,3.6230322777721
2020-09-30,1.9971846044191,286.387623459933,282.30599226148,290.939736279401,14.2376234599328,1.76237654006718
2020-10-01,2.95450056002444,285.809382954893,281.200280012219,290.502245188881,13.6593829548926,2.34061704510742
2020-10-02,4.05344669585582,286.797123510844,281.862748192648,291.08398330109,14.6471235108441,1.3528764891559
2020-10-03,4.18412585276448,286.387867834233,281.698874859994,291.106027899399,14.2378678342328,1.76213216576724
2020-10-04,4.80205681702474,284.492887689645,280.791864372263,288.470191426535,12.3428876896446,3.65711231035539
2020-10-05,4.28579574381428,284.165166479992,281.457351593524,287.262697281336,12.0151664799919,3.98483352000812
2020-10-06,5.00709703696161,284.768485897566,282.651985541187,287.646344567763,12.6184858975665,3.38151410243353
2020-10-07,4.38852459016393,284.549480704613,282.407967620405,287.58337236534,12.3994807046126,3.60051929538741
2020-10-08,4.97524182873434,285.230775888402,281.689451176051,288.323831585378,13.0807758884024,2.9192241115976
2020-10-09,2.9011862335811,285.490454128907,282.465695957642,288.276107321047,13.3404541289075,2.65954587109252
2020-10-10,3.66210161897974,282.272874452703,278.573627940128,285.642332756338,10.1228744527034,5.8771255472966
2020-10-11,2.91451481519194,280.712605640973,277.388840240301,284.522054780572,8.56260564097346,7.43739435902654
2020-10-12,2.22843905915895,281.064723551573,277.354744934324,284.92767029834,8.91472355157316,7.08527644842684
