"Territory","SHORTNAME","ISO3","Date","HDD18"
"Germany","GERMANY","DEU",2018-03-28,12.0573711395264
"Germany","GERMANY","DEU",2018-03-29,13.2607955932617
"Germany","GERMANY","DEU",2018-03-30,11.8104057312012
"Germany","GERMANY","DEU",2018-03-31,12.4471187591553
"Germany","GERMANY","DEU",2018-04-01,13.9294776916504
"Germany","GERMANY","DEU",2018-04-02,11.1970739364624
"Germany","GERMANY","DEU",2018-04-03,5.22016096115112
"Germany","GERMANY","DEU",2018-04-04,5.93895816802979
"Germany","GERMANY","DEU",2018-04-05,10.1158361434937
"Germany","GERMANY","DEU",2018-04-06,10.9320020675659
"Germany","GERMANY","DEU",2018-04-07,5.57921648025513
"Germany","GERMANY","DEU",2018-04-08,3.46657705307007
"Germany","GERMANY","DEU",2018-04-09,4.10905933380127
"Germany","GERMANY","DEU",2018-04-10,4.55579423904419
"Germany","GERMANY","DEU",2018-04-11,6.80429029464722
"Germany","GERMANY","DEU",2018-04-12,4.6024341583252
"Germany","GERMANY","DEU",2018-04-13,6.401695728302
"Germany","GERMANY","DEU",2018-04-14,6.21128416061401
"Germany","GERMANY","DEU",2018-04-15,5.09241151809692
