"Date","RH"
2019-05-04,77.59072
2019-05-05,68.67281
2019-05-06,69.19278
2019-05-07,63.570522
2019-05-08,72.21219
2019-05-09,77.92567
2019-05-10,76.740265
2019-05-11,80.0334
2019-05-12,65.34893
2019-05-13,55.81295
2019-05-14,57.57674
2019-05-15,58.250393
2019-05-16,77.644135
2019-05-17,77.08682
2019-05-18,70.12366
2019-05-19,72.28856
2019-05-20,86.84303
2019-05-21,89.11906
2019-05-22,81.63445
2019-05-23,63.9147
2019-05-24,60.653843
2019-05-25,70.49727
2019-05-26,68.2483
2019-05-27,72.61721
2019-05-28,77.42303
2019-05-29,67.05051
2019-05-30,66.23252
2019-05-31,72.54833
2019-06-01,65.43761
2019-06-02,56.532272
2019-06-03,61.793056
2019-06-04,64.46859
2019-06-05,58.097347
2019-06-06,73.98105
2019-06-07,68.47921
2019-06-08,58.19237
2019-06-09,58.675312
2019-06-10,74.68111
2019-06-11,79.09057
2019-06-12,82.00427
2019-06-13,65.39731
2019-06-14,61.51949
2019-06-15,70.019585
2019-06-16,75.3725
2019-06-17,65.244
2019-06-18,59.924664
2019-06-19,59.82724
2019-06-20,75.71735
2019-06-21,69.1965
2019-06-22,68.65898
2019-06-23,62.644794
2019-06-24,56.417404
2019-06-25,54.50181
2019-06-26,59.669815
2019-06-27,58.485123
2019-06-28,57.712128
2019-06-29,48.533947
2019-06-30,47.22993
2019-07-01,58.0199
2019-07-02,56.36739
2019-07-03,54.760002
2019-07-04,53.365314
2019-07-05,57.29453
2019-07-06,60.586636
2019-07-07,65.85443
2019-07-08,65.68535
2019-07-09,64.30239
2019-07-10,58.48363
2019-07-11,73.69482
2019-07-12,82.32889
2019-07-13,80.8795
2019-07-14,77.91696
2019-07-15,72.47935
2019-07-16,71.92609
2019-07-17,67.015045
2019-07-18,58.59206
2019-07-19,67.48155
2019-07-20,63.204212
2019-07-21,69.26439
2019-07-22,63.80522
2019-07-23,56.52345
2019-07-24,49.052856
2019-07-25,45.42716
2019-07-26,47.94826
2019-07-27,61.827293
2019-07-28,73.61162
2019-07-29,75.740875
2019-07-30,67.1879
2019-07-31,73.79424
2019-08-01,65.93399
2019-08-02,69.98913
2019-08-03,74.841446
2019-08-04,66.30068
2019-08-05,67.360115
2019-08-06,71.851685
2019-08-07,79.52671
2019-08-08,68.696754
2019-08-09,68.20306
2019-08-10,68.79698
2019-08-11,59.761677
2019-08-12,71.83933
2019-08-13,71.788574
2019-08-14,63.30106
2019-08-15,76.83112
2019-08-16,69.72454
2019-08-17,72.4984
2019-08-18,77.14256
2019-08-19,71.66669
2019-08-20,72.41428
2019-08-21,67.60554
2019-08-22,60.577023
2019-08-23,60.68353
2019-08-24,62.609238
2019-08-25,63.625484
2019-08-26,63.93988
2019-08-27,65.378204
2019-08-28,64.0586
2019-08-29,73.56503
2019-08-30,69.92956
2019-08-31,61.574123
2019-09-01,69.04948
